bugID,opened_date,release,status,inheritance,overriding,fixed_date,modified_files
24804,20021015151000,2.0.1,NEW,NO,NO,20110902162620 20120430171618,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/rewrite/describing/ImportRewriteTest.java org.eclipse.jdt.core/batch/org/eclipse/jdt/internal/compiler/batch/messages.properties org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/dom/org/eclipse/jdt/internal/core/dom/rewrite/ImportRewriteAnalyzer.java
24934,20021017075350,2.0.1,VERIFIED,NO,NO,20021118104936,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/JavaSearchTests.java org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/search/org/eclipse/jdt/internal/core/search/matching/DeclarationOfReferencedTypesPattern.java
24939,20021017081042,2.0.1,VERIFIED,NO,NO,20021030155812,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/CompletionTests.java org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/CompletionEngine.java
24974,20021017101201,2.0.1,RESOLVED,NO,NO,20021017212650,org.eclipse.jdt.core/buildnotes_jdt-core.html
25018,20021017150904,2.0.1,VERIFIED,NO,NO,20021017214641,org.eclipse.jdt.core/buildnotes_jdt-core.html
25040,20021018071323,2.0.1,VERIFIED,NO,NO,20021022105127,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/JavaProjectTests.java org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/model/org/eclipse/jdt/core/IJavaProject.java org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/JavaProject.java org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/SetClasspathOperation.java
25184,20021022094447,2.0.1,VERIFIED,NO,NO,20021108144836,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/ExistenceTests.java org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/WorkingCopyNotInClasspathTests.java org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/CompilationUnit.java org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/WorkingCopy.java
25197,20021022111219,2.0.1,VERIFIED,NO,NO,20021023101318,org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/model/org/eclipse/jdt/internal/core/SetClasspathOperation.java
25206,20021022132247,2.0.1,VERIFIED,NO,NO,20021022231505,org.eclipse.jdt.core/dom/org/eclipse/jdt/core/dom/Statement.java
25221,20021022172736,2.0.1,VERIFIED,NO,NO,20021031131851,org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/model/CompletionTests.java org.eclipse.jdt.core/buildnotes_jdt-core.html org.eclipse.jdt.core/codeassist/org/eclipse/jdt/internal/codeassist/CompletionEngine.java
