bugID,opened_date,status,inheritance,overriding
372028,20120220093400,RESOLVED,NO,NO
372068,20120220153100,RESOLVED,NO,NO
372169,20120221164100,RESOLVED,NO,NO
372237,20120222093800,RESOLVED,NO,NO
372298,20120222175800,RESOLVED,NO,NO
372360,20120223105800,RESOLVED,NO,NO
372384,20120223135700,RESOLVED,NO,NO
372432,20120223174800,RESOLVED,NO,NO
372553,20120224175900,RESOLVED,NO,NO
372579,20120225135000,RESOLVED,NO,NO
372591,20120226070700,RESOLVED,NO,NO
372596,20120226090200,RESOLVED,NO,NO
372600,20120226103500,ASSIGNED,NO,NO
372663,20120227122200,RESOLVED,NO,NO
372725,20120228072500,RESOLVED,NO,NO
372804,20120228170200,RESOLVED,NO,NO
372811,20120228221100,RESOLVED,NO,NO
372837,20120229070400,RESOLVED,NO,NO
372838,20120229070600,RESOLVED,NO,NO
372839,20120229070800,RESOLVED,NO,NO
372887,20120229131300,RESOLVED,NO,NO
372971,20120301084500,RESOLVED,NO,NO
373024,20120301164600,RESOLVED,NO,NO
373052,20120302043900,CLOSED,NO,NO
373098,20120302091500,RESOLVED,NO,NO
373165,20120302183800,RESOLVED,NO,NO
373167,20120302191800,RESOLVED,NO,NO
373178,20120303072300,RESOLVED,NO,NO
373186,20120303140700,RESOLVED,NO,NO
373197,20120304041800,RESOLVED,NO,NO
373275,20120305131900,RESOLVED,NO,NO
373279,20120305132400,RESOLVED,NO,NO
373296,20120305180200,RESOLVED,NO,NO
373327,20120306033100,CLOSED,NO,NO
373328,20120306033200,CLOSED,NO,NO
373474,20120307031300,RESOLVED,NO,NO
373483,20120307042300,RESOLVED,NO,NO
373497,20120307055300,RESOLVED,NO,NO
373557,20120307120100,RESOLVED,NO,NO
373590,20120307162400,RESOLVED,NO,NO
373606,20120307194700,RESOLVED,NO,NO
373703,20120308161100,RESOLVED,NO,NO
373851,20120309174500,RESOLVED,NO,NO
373877,20120310160000,RESOLVED,NO,NO
374019,20120312192700,RESOLVED,NO,NO
374047,20120313060000,RESOLVED,NO,NO
374187,20120314055500,CLOSED,NO,NO
374458,20120316023100,RESOLVED,NO,NO
374506,20120316104500,RESOLVED,NO,NO
374629,20120319060800,RESOLVED,NO,NO
374673,20120319124500,RESOLVED,NO,NO
374705,20120319174700,CLOSED,NO,NO
374729,20120320040600,RESOLVED,NO,NO
374760,20120320102300,RESOLVED,NO,NO
374766,20120320103900,RESOLVED,NO,NO
374776,20120320112600,RESOLVED,NO,NO
374783,20120320115100,RESOLVED,NO,NO
374843,20120320200300,RESOLVED,NO,NO
375076,20120322114400,RESOLVED,NO,NO
375097,20120322134400,RESOLVED,NO,NO
375099,20120322135500,RESOLVED,NO,NO
375116,20120322165400,RESOLVED,NO,NO
375181,20120323094500,RESOLVED,NO,NO
375208,20120323151200,RESOLVED,NO,NO
